blast_id,mine_name,country,rock_type,mine_type,cluster_group,spacing_to_burden_ratio,bench_height_to_burden_ratio,burden_to_hole_diameter_ratio,stemming_to_burden_ratio,powder_factor_kg_m3,insitu_block_size_m,modulus_of_elasticity_gpa,mean_fragment_size_m,mean_fragment_size_cm
Db5,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.75,4.75,20.0,1.75,0.39,1.0,9.57,0.35,35.0
Db6,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.25,4.75,20.0,1.75,0.33,1.0,9.57,0.23,23.0
Db7,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.25,5.0,20.0,1.75,0.44,1.0,9.57,0.4,40.0
Db8,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.2,2.4,25.0,1.4,0.28,0.5,9.57,0.35,35.0
Db9,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Group 2 (low elastic modulus),1.4,3.2,25.0,1.4,0.31,0.5,9.57,0.29,29.0
Mi1,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,2.5,22.22,1.69,0.71,0.17,10.0,0.1,10.0
Mi2,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,1.67,33.33,0.72,0.46,0.1,10.0,0.09,9.0
Mi3,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,1.67,33.33,1.25,0.27,0.1,10.0,0.09,9.0
Mi4,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,1.67,33.33,0.7,0.47,0.1,10.0,0.08,8.0
Mi5,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,1.67,33.33,1.28,0.26,0.1,10.0,0.1,10.0
Mi6,Miami Mine,USA (Arizona),Pinal schist,Quarry,Group 2 (low elastic modulus),1.0,2.5,22.22,1.69,0.71,0.02,10.0,0.02,2.0
Sm1,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.15,15.0
Sm2,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.19,19.0
Sm3,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.23,23.0
Sm4,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.22,22.0
Sm5,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.24,24.0
Sm6,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.26,26.0
Sm7,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Group 2 (low elastic modulus),1.25,2.5,28.57,0.83,0.42,1.5,13.25,0.28,28.0
Ad1,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,4.4,28.09,1.2,0.58,0.77,16.9,0.15,15.0
Ad2,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,4.8,28.09,1.2,0.66,0.56,16.9,0.17,17.0
Ad3,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,4.8,28.09,1.2,0.72,0.29,16.9,0.14,14.0
Ad4,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,4.0,28.09,1.6,0.49,0.81,16.9,0.16,16.0
Ad5,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.14,6.82,24.72,1.36,0.84,1.43,16.9,0.21,21.0
Ad6,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.14,6.36,24.72,1.36,0.82,1.77,16.9,0.21,21.0
Ad7,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,3.5,22.47,1.25,0.75,1.03,16.9,0.15,15.0
Ad8,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,3.25,22.47,1.25,0.71,0.83,16.9,0.19,19.0
Ad9,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,3.5,22.47,1.25,0.76,1.68,16.9,0.18,18.0
Ad10,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,3.5,22.47,1.25,0.76,1.24,16.9,0.15,15.0
Ad11,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.14,3.18,24.72,1.14,0.69,0.67,16.9,0.14,14.0
Ad12,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.14,3.18,24.72,1.14,0.69,2.01,16.9,0.2,20.0
Ad13,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.12,2.8,28.09,1.0,0.54,0.96,16.9,0.15,15.0
Ad14,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.0,2.4,28.09,1.0,0.56,0.83,16.9,0.14,14.0
Ad15,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.1,3.75,21.74,1.0,1.02,1.64,16.9,0.15,15.0
Ad16,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.1,3.5,22.47,1.25,0.86,2.35,16.9,0.15,15.0
Ad17,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,3.75,17.98,1.56,1.24,1.53,16.9,0.19,19.0
Ad18,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.0,4.0,18.42,1.71,1.26,0.73,16.9,0.15,15.0
Ad19,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.0,4.0,18.42,1.71,1.26,1.47,16.9,0.17,17.0
Ad20,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.14,4.0,18.42,1.71,1.1,1.19,16.9,0.19,19.0
Ad21,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.11,4.44,18.95,1.67,1.25,1.71,16.9,0.22,22.0
Ad22,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.28,3.61,18.95,1.67,0.89,0.56,16.9,0.2,20.0
Oz1,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.0,2.83,33.71,1.0,0.48,0.45,15.0,0.27,27.0
Oz2,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,2.4,28.09,1.0,0.53,0.86,15.0,0.14,14.0
Oz3,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,2.4,28.09,1.0,0.53,0.44,15.0,0.14,14.0
Oz4,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.25,4.5,22.47,1.5,0.76,0.66,15.0,0.2,20.0
Oz5,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.11,3.33,30.34,1.11,0.47,0.47,15.0,0.17,17.0
Oz6,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,3.2,28.09,1.2,0.48,1.11,15.0,0.3,30.0
Oz7,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Group 2 (low elastic modulus),1.2,2.4,28.09,1.0,0.53,0.88,15.0,0.12,12.0
En13,Enusa Mine,Spain,"Uranium ore (schistose, folded)",Open-pit,Validation set (Table VIII),1.24,1.33,27.27,0.78,0.48,1.11,60.0,0.47,47.0
Ru7,Reocin Mine (Underground),Spain,Zinc ore,Underground,Validation set (Table VIII),1.13,5.0,39.47,3.11,0.31,2.0,45.0,0.64,64.0
Mg8,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Validation set (Table VIII),1.1,2.4,30.3,0.8,0.55,1.23,50.0,0.44,44.0
Mg9,Murgul Copper Mine,Turkey,Dacite / altered dacite (copper),Open-pit,Validation set (Table VIII),1.0,2.67,27.27,0.89,0.75,0.77,50.0,0.25,25.0
Mr12,Mrica Quarry,Indonesia,Andesite,Quarry,Validation set (Table VIII),1.25,6.25,31.58,0.63,0.48,1.03,32.0,0.2,20.0
Db10,Dongri-Buzurg Mine,India,Manganese ore (micaceous/muscovite schist),Open-pit,Validation set (Table VIII),1.15,4.35,20.0,1.75,0.89,1.0,9.57,0.35,35.0
Mi7,Miami Mine,USA (Arizona),Pinal schist,Quarry,Validation set (Table VIII),1.0,1.67,33.33,0.7,0.47,0.09,10.0,0.08,8.0
Sm8,Soma Basin Coal Mine,Turkey,Coal,Open-pit,Validation set (Table VIII),1.25,2.5,28.57,0.83,0.42,0.5,13.25,0.18,18.0
Oz8,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Validation set (Table VIII),1.2,2.4,28.09,1.0,0.53,0.82,15.0,0.23,23.0
Oz9,Ozmert Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Validation set (Table VIII),1.11,3.33,30.34,1.11,0.47,0.54,15.0,0.17,17.0
Ad23,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Validation set (Table VIII),1.11,4.44,18.95,1.67,1.25,1.63,16.9,0.21,21.0
Ad24,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Validation set (Table VIII),1.28,3.61,18.95,1.67,0.89,0.61,16.9,0.2,20.0
Ad25,Akdaglar Quarry,Turkey (Istanbul),Sandstone (aggregate),Quarry,Validation set (Table VIII),1.2,2.8,28.09,1.0,0.5,1.49,16.9,0.17,17.0
